,Player,Year,Position,Age,Height,Weight,Draft Position,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP
Jeff Carter 2014,Jeff Carter,2014,C,28.748,75,219,11,74.0,80.0,55.0,48.0,72.0
Jeff Carter 2015,Jeff Carter,2015,C,29.748,75,219,11,80.0,55.0,48.0,72.0,82.0
Jeff Carter 2016,Jeff Carter,2016,C,30.747,75,219,11,55.0,48.0,72.0,82.0,77.0
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,11,48.0,72.0,82.0,77.0,82.0
Jeff Carter 2018,Jeff Carter,2018,C,32.748,75,219,11,72.0,82.0,77.0,82.0,27.0
Jeff Carter 2019,Jeff Carter,2019,C,33.748,75,219,11,82.0,77.0,82.0,27.0,76.0
Jeff Carter 2020,Jeff Carter,2020,C,34.747,75,219,11,77.0,82.0,27.0,76.0,60.0
Jeff Carter 2021,Jeff Carter,2021,C,35.749,75,219,11,82.0,27.0,76.0,60.0,54.0
Jeff Carter 2022,Jeff Carter,2022,C,36.748,75,219,11,27.0,76.0,60.0,54.0,76.0
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,11,76.0,60.0,54.0,76.0,79.0
Zach Parise 2008,Zach Parise,2008,L,23.177,71,195,17,,,,,81.0
Zach Parise 2009,Zach Parise,2009,L,24.179,71,195,17,,,,81.0,82.0
Zach Parise 2010,Zach Parise,2010,L,25.178,71,195,17,,,81.0,82.0,81.0
Zach Parise 2011,Zach Parise,2011,L,26.177,71,195,17,,81.0,82.0,81.0,13.0
Zach Parise 2012,Zach Parise,2012,L,27.177,71,195,17,81.0,82.0,81.0,13.0,82.0
Zach Parise 2013,Zach Parise,2013,L,28.179,71,195,17,82.0,81.0,13.0,82.0,48.0
Zach Parise 2014,Zach Parise,2014,L,29.178,71,195,17,81.0,13.0,82.0,48.0,67.0
Zach Parise 2015,Zach Parise,2015,L,30.177,71,195,17,13.0,82.0,48.0,67.0,74.0
Zach Parise 2016,Zach Parise,2016,L,31.177,71,195,17,82.0,48.0,67.0,74.0,70.0
Zach Parise 2017,Zach Parise,2017,L,32.179,71,195,17,48.0,67.0,74.0,70.0,69.0
Zach Parise 2018,Zach Parise,2018,L,33.178,71,195,17,67.0,74.0,70.0,69.0,42.0
Zach Parise 2019,Zach Parise,2019,L,34.178,71,195,17,74.0,70.0,69.0,42.0,74.0
Zach Parise 2020,Zach Parise,2020,L,35.177,71,195,17,70.0,69.0,42.0,74.0,69.0
Zach Parise 2021,Zach Parise,2021,L,36.179,71,195,17,69.0,42.0,74.0,69.0,45.0
Zach Parise 2022,Zach Parise,2022,L,37.178,71,195,17,42.0,74.0,69.0,45.0,82.0
Zach Parise 2023,Zach Parise,2023,L,38.178,71,195,17,74.0,69.0,45.0,82.0,82.0
Brent Burns 2008,Brent Burns,2008,D,22.563,77,230,20,,,,,82.0
Brent Burns 2009,Brent Burns,2009,D,23.565,77,230,20,,,,82.0,59.0
Brent Burns 2010,Brent Burns,2010,D,24.565,77,230,20,,,82.0,59.0,47.0
Brent Burns 2011,Brent Burns,2011,D,25.564,77,230,20,,82.0,59.0,47.0,80.0
Brent Burns 2012,Brent Burns,2012,D,26.563,77,230,20,82.0,59.0,47.0,80.0,81.0
Brent Burns 2013,Brent Burns,2013,D,27.565,77,230,20,59.0,47.0,80.0,81.0,30.0
Brent Burns 2014,Brent Burns,2014,D,28.565,77,230,20,47.0,80.0,81.0,30.0,69.0
Brent Burns 2015,Brent Burns,2015,D,29.564,77,230,20,80.0,81.0,30.0,69.0,82.0
Brent Burns 2016,Brent Burns,2016,D,30.563,77,230,20,81.0,30.0,69.0,82.0,82.0
Brent Burns 2017,Brent Burns,2017,D,31.566,77,230,20,30.0,69.0,82.0,82.0,82.0
Brent Burns 2018,Brent Burns,2018,D,32.565,77,230,20,69.0,82.0,82.0,82.0,82.0
Brent Burns 2019,Brent Burns,2019,D,33.564,77,230,20,82.0,82.0,82.0,82.0,82.0
Brent Burns 2020,Brent Burns,2020,D,34.564,77,230,20,82.0,82.0,82.0,82.0,70.0
Brent Burns 2021,Brent Burns,2021,D,35.566,77,230,20,82.0,82.0,82.0,70.0,56.0
Brent Burns 2022,Brent Burns,2022,D,36.565,77,230,20,82.0,82.0,70.0,56.0,82.0
Brent Burns 2023,Brent Burns,2023,D,37.564,77,230,20,82.0,70.0,56.0,82.0,82.0
Corey Perry 2008,Corey Perry,2008,R,22.377,75,208,28,,,,,70.0
Corey Perry 2009,Corey Perry,2009,R,23.379,75,208,28,,,,70.0,78.0
Corey Perry 2010,Corey Perry,2010,R,24.378,75,208,28,,,70.0,78.0,82.0
Corey Perry 2011,Corey Perry,2011,R,25.378,75,208,28,,70.0,78.0,82.0,82.0
Corey Perry 2012,Corey Perry,2012,R,26.377,75,208,28,70.0,78.0,82.0,82.0,80.0
Corey Perry 2013,Corey Perry,2013,R,27.379,75,208,28,78.0,82.0,82.0,80.0,44.0
Corey Perry 2014,Corey Perry,2014,R,28.379,75,208,28,82.0,82.0,80.0,44.0,81.0
Corey Perry 2015,Corey Perry,2015,R,29.378,75,208,28,82.0,80.0,44.0,81.0,67.0
Corey Perry 2016,Corey Perry,2016,R,30.377,75,208,28,80.0,44.0,81.0,67.0,82.0
Corey Perry 2017,Corey Perry,2017,R,31.379,75,208,28,44.0,81.0,67.0,82.0,82.0
Corey Perry 2018,Corey Perry,2018,R,32.379,75,208,28,81.0,67.0,82.0,82.0,71.0
Corey Perry 2019,Corey Perry,2019,R,33.378,75,208,28,67.0,82.0,82.0,71.0,31.0
Corey Perry 2020,Corey Perry,2020,R,34.377,75,208,28,82.0,82.0,71.0,31.0,57.0
Corey Perry 2021,Corey Perry,2021,R,35.379,75,208,28,82.0,71.0,31.0,57.0,49.0
Corey Perry 2022,Corey Perry,2022,R,36.379,75,208,28,71.0,31.0,57.0,49.0,82.0
Corey Perry 2023,Corey Perry,2023,R,37.378,75,208,28,31.0,57.0,49.0,82.0,81.0
Patrice Bergeron 2008,Patrice Bergeron,2008,C,22.188,73,196,45,,,,,10.0
Patrice Bergeron 2009,Patrice Bergeron,2009,C,23.19,73,196,45,,,,10.0,64.0
Patrice Bergeron 2010,Patrice Bergeron,2010,C,24.19,73,196,45,,,10.0,64.0,73.0
Patrice Bergeron 2011,Patrice Bergeron,2011,C,25.189,73,196,45,,10.0,64.0,73.0,80.0
Patrice Bergeron 2012,Patrice Bergeron,2012,C,26.188,73,196,45,10.0,64.0,73.0,80.0,81.0
Patrice Bergeron 2013,Patrice Bergeron,2013,C,27.19,73,196,45,64.0,73.0,80.0,81.0,42.0
Patrice Bergeron 2014,Patrice Bergeron,2014,C,28.19,73,196,45,73.0,80.0,81.0,42.0,80.0
Patrice Bergeron 2015,Patrice Bergeron,2015,C,29.189,73,196,45,80.0,81.0,42.0,80.0,81.0
Patrice Bergeron 2016,Patrice Bergeron,2016,C,30.188,73,196,45,81.0,42.0,80.0,81.0,80.0
Patrice Bergeron 2017,Patrice Bergeron,2017,C,31.19,73,196,45,42.0,80.0,81.0,80.0,79.0
Patrice Bergeron 2018,Patrice Bergeron,2018,C,32.19,73,196,45,80.0,81.0,80.0,79.0,64.0
Patrice Bergeron 2019,Patrice Bergeron,2019,C,33.189,73,196,45,81.0,80.0,79.0,64.0,65.0
Patrice Bergeron 2020,Patrice Bergeron,2020,C,34.188,73,196,45,80.0,79.0,64.0,65.0,61.0
Patrice Bergeron 2021,Patrice Bergeron,2021,C,35.191,73,196,45,79.0,64.0,65.0,61.0,54.0
Patrice Bergeron 2022,Patrice Bergeron,2022,C,36.19,73,196,45,64.0,65.0,61.0,54.0,73.0
Patrice Bergeron 2023,Patrice Bergeron,2023,C,37.189,73,196,45,65.0,61.0,54.0,73.0,78.0
Joe Pavelski 2008,Joe Pavelski,2008,C,23.223,71,200,205,,,,,82.0
Joe Pavelski 2009,Joe Pavelski,2009,C,24.225,71,200,205,,,,82.0,80.0
Joe Pavelski 2010,Joe Pavelski,2010,C,25.225,71,200,205,,,82.0,80.0,67.0
Joe Pavelski 2011,Joe Pavelski,2011,C,26.224,71,200,205,,82.0,80.0,67.0,74.0
Joe Pavelski 2012,Joe Pavelski,2012,C,27.223,71,200,205,82.0,80.0,67.0,74.0,82.0
Joe Pavelski 2013,Joe Pavelski,2013,C,28.225,71,200,205,80.0,67.0,74.0,82.0,48.0
Joe Pavelski 2014,Joe Pavelski,2014,C,29.225,71,200,205,67.0,74.0,82.0,48.0,82.0
Joe Pavelski 2015,Joe Pavelski,2015,C,30.224,71,200,205,74.0,82.0,48.0,82.0,82.0
Joe Pavelski 2016,Joe Pavelski,2016,C,31.223,71,200,205,82.0,48.0,82.0,82.0,82.0
Joe Pavelski 2017,Joe Pavelski,2017,C,32.225,71,200,205,48.0,82.0,82.0,82.0,81.0
Joe Pavelski 2018,Joe Pavelski,2018,C,33.225,71,200,205,82.0,82.0,82.0,81.0,82.0
Joe Pavelski 2019,Joe Pavelski,2019,C,34.224,71,200,205,82.0,82.0,81.0,82.0,75.0
Joe Pavelski 2020,Joe Pavelski,2020,C,35.223,71,200,205,82.0,81.0,82.0,75.0,67.0
Joe Pavelski 2021,Joe Pavelski,2021,C,36.225,71,200,205,81.0,82.0,75.0,67.0,56.0
Joe Pavelski 2022,Joe Pavelski,2022,C,37.225,71,200,205,82.0,75.0,67.0,56.0,82.0
Joe Pavelski 2023,Joe Pavelski,2023,C,38.224,71,200,205,75.0,67.0,56.0,82.0,82.0
Mark Giordano 2008,Mark Giordano,2008,D,23.995,72,205,-,,,,,
Mark Giordano 2009,Mark Giordano,2009,D,24.997,72,205,-,,,,,58.0
Mark Giordano 2010,Mark Giordano,2010,D,25.997,72,205,-,,,,58.0,82.0
Mark Giordano 2011,Mark Giordano,2011,D,26.996,72,205,-,,,58.0,82.0,82.0
Mark Giordano 2012,Mark Giordano,2012,D,27.995,72,205,-,,58.0,82.0,82.0,61.0
Mark Giordano 2013,Mark Giordano,2013,D,28.997,72,205,-,58.0,82.0,82.0,61.0,47.0
Mark Giordano 2014,Mark Giordano,2014,D,29.997,72,205,-,82.0,82.0,61.0,47.0,64.0
Mark Giordano 2015,Mark Giordano,2015,D,30.996,72,205,-,82.0,61.0,47.0,64.0,61.0
Mark Giordano 2016,Mark Giordano,2016,D,31.995,72,205,-,61.0,47.0,64.0,61.0,82.0
Mark Giordano 2017,Mark Giordano,2017,D,32.997,72,205,-,47.0,64.0,61.0,82.0,81.0
Mark Giordano 2018,Mark Giordano,2018,D,33.997,72,205,-,64.0,61.0,82.0,81.0,82.0
Mark Giordano 2019,Mark Giordano,2019,D,34.996,72,205,-,61.0,82.0,81.0,82.0,78.0
Mark Giordano 2020,Mark Giordano,2020,D,35.996,72,205,-,82.0,81.0,82.0,78.0,60.0
Mark Giordano 2021,Mark Giordano,2021,D,36.998,72,205,-,81.0,82.0,78.0,60.0,56.0
Mark Giordano 2022,Mark Giordano,2022,D,37.997,72,205,-,82.0,78.0,60.0,56.0,75.0
Mark Giordano 2023,Mark Giordano,2023,D,38.996,72,205,-,78.0,60.0,56.0,75.0,78.0
Alex Ovechkin 2008,Alex Ovechkin,2008,L,22.038,75,238,1,,,,,82.0
Alex Ovechkin 2009,Alex Ovechkin,2009,L,23.04,75,238,1,,,,82.0,79.0
Alex Ovechkin 2010,Alex Ovechkin,2010,L,24.039,75,238,1,,,82.0,79.0,72.0
Alex Ovechkin 2011,Alex Ovechkin,2011,L,25.038,75,238,1,,82.0,79.0,72.0,79.0
Alex Ovechkin 2012,Alex Ovechkin,2012,L,26.038,75,238,1,82.0,79.0,72.0,79.0,78.0
Alex Ovechkin 2013,Alex Ovechkin,2013,L,27.04,75,238,1,79.0,72.0,79.0,78.0,48.0
Alex Ovechkin 2014,Alex Ovechkin,2014,L,28.039,75,238,1,72.0,79.0,78.0,48.0,78.0
Alex Ovechkin 2015,Alex Ovechkin,2015,L,29.038,75,238,1,79.0,78.0,48.0,78.0,81.0
Alex Ovechkin 2016,Alex Ovechkin,2016,L,30.038,75,238,1,78.0,48.0,78.0,81.0,79.0
Alex Ovechkin 2017,Alex Ovechkin,2017,L,31.04,75,238,1,48.0,78.0,81.0,79.0,82.0
Alex Ovechkin 2018,Alex Ovechkin,2018,L,32.039,75,238,1,78.0,81.0,79.0,82.0,82.0
Alex Ovechkin 2019,Alex Ovechkin,2019,L,33.039,75,238,1,81.0,79.0,82.0,82.0,81.0
Alex Ovechkin 2020,Alex Ovechkin,2020,L,34.038,75,238,1,79.0,82.0,82.0,81.0,68.0
Alex Ovechkin 2021,Alex Ovechkin,2021,L,35.04,75,238,1,82.0,82.0,81.0,68.0,45.0
Alex Ovechkin 2022,Alex Ovechkin,2022,L,36.039,75,238,1,82.0,81.0,68.0,45.0,77.0
Alex Ovechkin 2023,Alex Ovechkin,2023,L,37.039,75,238,1,81.0,68.0,45.0,77.0,73.0
Evgeni Malkin 2008,Evgeni Malkin,2008,C,21.17,75,195,2,,,,,82.0
Evgeni Malkin 2009,Evgeni Malkin,2009,C,22.172,75,195,2,,,,82.0,82.0
Evgeni Malkin 2010,Evgeni Malkin,2010,C,23.171,75,195,2,,,82.0,82.0,67.0
Evgeni Malkin 2011,Evgeni Malkin,2011,C,24.17,75,195,2,,82.0,82.0,67.0,43.0
Evgeni Malkin 2012,Evgeni Malkin,2012,C,25.17,75,195,2,82.0,82.0,67.0,43.0,75.0
Evgeni Malkin 2013,Evgeni Malkin,2013,C,26.172,75,195,2,82.0,67.0,43.0,75.0,31.0
Evgeni Malkin 2014,Evgeni Malkin,2014,C,27.171,75,195,2,67.0,43.0,75.0,31.0,60.0
Evgeni Malkin 2015,Evgeni Malkin,2015,C,28.171,75,195,2,43.0,75.0,31.0,60.0,69.0
Evgeni Malkin 2016,Evgeni Malkin,2016,C,29.17,75,195,2,75.0,31.0,60.0,69.0,57.0
Evgeni Malkin 2017,Evgeni Malkin,2017,C,30.172,75,195,2,31.0,60.0,69.0,57.0,62.0
Evgeni Malkin 2018,Evgeni Malkin,2018,C,31.171,75,195,2,60.0,69.0,57.0,62.0,78.0
Evgeni Malkin 2019,Evgeni Malkin,2019,C,32.171,75,195,2,69.0,57.0,62.0,78.0,68.0
Evgeni Malkin 2020,Evgeni Malkin,2020,C,33.17,75,195,2,57.0,62.0,78.0,68.0,55.0
Evgeni Malkin 2021,Evgeni Malkin,2021,C,34.172,75,195,2,62.0,78.0,68.0,55.0,33.0
Evgeni Malkin 2022,Evgeni Malkin,2022,C,35.171,75,195,2,78.0,68.0,55.0,33.0,41.0
Evgeni Malkin 2023,Evgeni Malkin,2023,C,36.171,75,195,2,68.0,55.0,33.0,41.0,82.0
Blake Wheeler 2008,Blake Wheeler,2008,R,21.085,77,220,5,,,,,
Blake Wheeler 2009,Blake Wheeler,2009,R,22.087,77,220,5,,,,,81.0
Blake Wheeler 2010,Blake Wheeler,2010,R,23.086,77,220,5,,,,81.0,82.0
Blake Wheeler 2011,Blake Wheeler,2011,R,24.086,77,220,5,,,81.0,82.0,81.0
Blake Wheeler 2012,Blake Wheeler,2012,R,25.085,77,220,5,,81.0,82.0,81.0,80.0
Blake Wheeler 2013,Blake Wheeler,2013,R,26.087,77,220,5,81.0,82.0,81.0,80.0,48.0
Blake Wheeler 2014,Blake Wheeler,2014,R,27.086,77,220,5,82.0,81.0,80.0,48.0,82.0
Blake Wheeler 2015,Blake Wheeler,2015,R,28.086,77,220,5,81.0,80.0,48.0,82.0,79.0
Blake Wheeler 2016,Blake Wheeler,2016,R,29.085,77,220,5,80.0,48.0,82.0,79.0,82.0
Blake Wheeler 2017,Blake Wheeler,2017,R,30.087,77,220,5,48.0,82.0,79.0,82.0,82.0
Blake Wheeler 2018,Blake Wheeler,2018,R,31.086,77,220,5,82.0,79.0,82.0,82.0,81.0
Blake Wheeler 2019,Blake Wheeler,2019,R,32.086,77,220,5,79.0,82.0,82.0,81.0,82.0
Blake Wheeler 2020,Blake Wheeler,2020,R,33.085,77,220,5,82.0,82.0,81.0,82.0,71.0
Blake Wheeler 2021,Blake Wheeler,2021,R,34.087,77,220,5,82.0,81.0,82.0,71.0,50.0
Blake Wheeler 2022,Blake Wheeler,2022,R,35.087,77,220,5,81.0,82.0,71.0,50.0,65.0
Blake Wheeler 2023,Blake Wheeler,2023,R,36.086,77,220,5,82.0,71.0,50.0,65.0,72.0
Alex Goligoski 2008,Alex Goligoski,2008,D,22.172,71,173,61,,,,,3.0
Alex Goligoski 2009,Alex Goligoski,2009,D,23.174,71,173,61,,,,3.0,45.0
Alex Goligoski 2010,Alex Goligoski,2010,D,24.173,71,173,61,,,3.0,45.0,69.0
Alex Goligoski 2011,Alex Goligoski,2011,D,25.172,71,173,61,,3.0,45.0,69.0,83.0
Alex Goligoski 2012,Alex Goligoski,2012,D,26.172,71,173,61,3.0,45.0,69.0,83.0,71.0
Alex Goligoski 2013,Alex Goligoski,2013,D,27.174,71,173,61,45.0,69.0,83.0,71.0,47.0
Alex Goligoski 2014,Alex Goligoski,2014,D,28.173,71,173,61,69.0,83.0,71.0,47.0,81.0
Alex Goligoski 2015,Alex Goligoski,2015,D,29.173,71,173,61,83.0,71.0,47.0,81.0,81.0
Alex Goligoski 2016,Alex Goligoski,2016,D,30.172,71,173,61,71.0,47.0,81.0,81.0,82.0
Alex Goligoski 2017,Alex Goligoski,2017,D,31.174,71,173,61,47.0,81.0,81.0,82.0,82.0
Alex Goligoski 2018,Alex Goligoski,2018,D,32.173,71,173,61,81.0,81.0,82.0,82.0,78.0
Alex Goligoski 2019,Alex Goligoski,2019,D,33.173,71,173,61,81.0,82.0,82.0,78.0,76.0
Alex Goligoski 2020,Alex Goligoski,2020,D,34.172,71,173,61,82.0,82.0,78.0,76.0,70.0
Alex Goligoski 2021,Alex Goligoski,2021,D,35.174,71,173,61,82.0,78.0,76.0,70.0,56.0
Alex Goligoski 2022,Alex Goligoski,2022,D,36.173,71,173,61,78.0,76.0,70.0,56.0,72.0
Alex Goligoski 2023,Alex Goligoski,2023,D,37.173,71,173,61,76.0,70.0,56.0,72.0,46.0
David Krejci 2008,David Krejci,2008,C,21.427,72,192,63,,,,,56.0
David Krejci 2009,David Krejci,2009,C,22.429,72,192,63,,,,56.0,82.0
David Krejci 2010,David Krejci,2010,C,23.428,72,192,63,,,56.0,82.0,79.0
David Krejci 2011,David Krejci,2011,C,24.428,72,192,63,,56.0,82.0,79.0,75.0
David Krejci 2012,David Krejci,2012,C,25.427,72,192,63,56.0,82.0,79.0,75.0,79.0
David Krejci 2013,David Krejci,2013,C,26.429,72,192,63,82.0,79.0,75.0,79.0,47.0
David Krejci 2014,David Krejci,2014,C,27.429,72,192,63,79.0,75.0,79.0,47.0,80.0
David Krejci 2015,David Krejci,2015,C,28.428,72,192,63,75.0,79.0,47.0,80.0,47.0
David Krejci 2016,David Krejci,2016,C,29.427,72,192,63,79.0,47.0,80.0,47.0,72.0
David Krejci 2017,David Krejci,2017,C,30.429,72,192,63,47.0,80.0,47.0,72.0,82.0
David Krejci 2018,David Krejci,2018,C,31.429,72,192,63,80.0,47.0,72.0,82.0,64.0
David Krejci 2019,David Krejci,2019,C,32.428,72,192,63,47.0,72.0,82.0,64.0,81.0
David Krejci 2020,David Krejci,2020,C,33.427,72,192,63,72.0,82.0,64.0,81.0,61.0
David Krejci 2021,David Krejci,2021,C,34.429,72,192,63,82.0,64.0,81.0,61.0,51.0
David Krejci 2022,David Krejci,2022,C,35.429,72,192,63,64.0,81.0,61.0,51.0,
David Krejci 2023,David Krejci,2023,C,36.428,72,192,63,81.0,61.0,51.0,,70.0
Alexander Edler 2008,Alexander Edler,2008,D,21.446,76,210,91,,,,,75.0
Alexander Edler 2009,Alexander Edler,2009,D,22.448,76,210,91,,,,75.0,80.0
Alexander Edler 2010,Alexander Edler,2010,D,23.448,76,210,91,,,75.0,80.0,76.0
Alexander Edler 2011,Alexander Edler,2011,D,24.447,76,210,91,,75.0,80.0,76.0,51.0
Alexander Edler 2012,Alexander Edler,2012,D,25.446,76,210,91,75.0,80.0,76.0,51.0,82.0
Alexander Edler 2013,Alexander Edler,2013,D,26.448,76,210,91,80.0,76.0,51.0,82.0,45.0
Alexander Edler 2014,Alexander Edler,2014,D,27.448,76,210,91,76.0,51.0,82.0,45.0,63.0
Alexander Edler 2015,Alexander Edler,2015,D,28.447,76,210,91,51.0,82.0,45.0,63.0,74.0
Alexander Edler 2016,Alexander Edler,2016,D,29.446,76,210,91,82.0,45.0,63.0,74.0,52.0
Alexander Edler 2017,Alexander Edler,2017,D,30.448,76,210,91,45.0,63.0,74.0,52.0,68.0
Alexander Edler 2018,Alexander Edler,2018,D,31.448,76,210,91,63.0,74.0,52.0,68.0,70.0
Alexander Edler 2019,Alexander Edler,2019,D,32.447,76,210,91,74.0,52.0,68.0,70.0,56.0
Alexander Edler 2020,Alexander Edler,2020,D,33.447,76,210,91,52.0,68.0,70.0,56.0,59.0
Alexander Edler 2021,Alexander Edler,2021,D,34.449,76,210,91,68.0,70.0,56.0,59.0,52.0
Alexander Edler 2022,Alexander Edler,2022,D,35.448,76,210,91,70.0,56.0,59.0,52.0,41.0
Alexander Edler 2023,Alexander Edler,2023,D,36.447,76,210,91,56.0,59.0,52.0,41.0,64.0
Paul Stastny 2008,Paul Stastny,2008,C,21.761,72,193,44,,,,,66.0
Paul Stastny 2009,Paul Stastny,2009,C,22.763,72,193,44,,,,66.0,45.0
Paul Stastny 2010,Paul Stastny,2010,C,23.762,72,193,44,,,66.0,45.0,81.0
Paul Stastny 2011,Paul Stastny,2011,C,24.762,72,193,44,,66.0,45.0,81.0,74.0
Paul Stastny 2012,Paul Stastny,2012,C,25.761,72,193,44,66.0,45.0,81.0,74.0,79.0
Paul Stastny 2013,Paul Stastny,2013,C,26.763,72,193,44,45.0,81.0,74.0,79.0,40.0
Paul Stastny 2014,Paul Stastny,2014,C,27.763,72,193,44,81.0,74.0,79.0,40.0,71.0
Paul Stastny 2015,Paul Stastny,2015,C,28.762,72,193,44,74.0,79.0,40.0,71.0,74.0
Paul Stastny 2016,Paul Stastny,2016,C,29.761,72,193,44,79.0,40.0,71.0,74.0,64.0
Paul Stastny 2017,Paul Stastny,2017,C,30.763,72,193,44,40.0,71.0,74.0,64.0,66.0
Paul Stastny 2018,Paul Stastny,2018,C,31.763,72,193,44,71.0,74.0,64.0,66.0,82.0
Paul Stastny 2019,Paul Stastny,2019,C,32.762,72,193,44,74.0,64.0,66.0,82.0,50.0
Paul Stastny 2020,Paul Stastny,2020,C,33.761,72,193,44,64.0,66.0,82.0,50.0,71.0
Paul Stastny 2021,Paul Stastny,2021,C,34.763,72,193,44,66.0,82.0,50.0,71.0,56.0
Paul Stastny 2022,Paul Stastny,2022,C,35.763,72,193,44,82.0,50.0,71.0,56.0,71.0
Paul Stastny 2023,Paul Stastny,2023,C,36.762,72,193,44,50.0,71.0,56.0,71.0,73.0
Sidney Crosby 2008,Sidney Crosby,2008,C,20.151,71,200,1,,,,,53.0
Sidney Crosby 2009,Sidney Crosby,2009,C,21.153,71,200,1,,,,53.0,77.0
Sidney Crosby 2010,Sidney Crosby,2010,C,22.153,71,200,1,,,53.0,77.0,81.0
Sidney Crosby 2011,Sidney Crosby,2011,C,23.152,71,200,1,,53.0,77.0,81.0,41.0
Sidney Crosby 2012,Sidney Crosby,2012,C,24.151,71,200,1,53.0,77.0,81.0,41.0,22.0
Sidney Crosby 2013,Sidney Crosby,2013,C,25.153,71,200,1,77.0,81.0,41.0,22.0,36.0
Sidney Crosby 2014,Sidney Crosby,2014,C,26.153,71,200,1,81.0,41.0,22.0,36.0,80.0
Sidney Crosby 2015,Sidney Crosby,2015,C,27.152,71,200,1,41.0,22.0,36.0,80.0,77.0
