,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y5 dGP,Y4 EV ATOI,Y4 EV P/60
Ryan McDonagh 2019,Ryan McDonagh,2019,D,29.301,73,215,71.0,73.0,77.0,63,82,11.0,18.5325,0.9764
Ryan McDonagh 2020,Ryan McDonagh,2020,D,30.301,73,215,73.0,77.0,63.0,82,58,-15.75,18.2787,1.6012
Ryan McDonagh 2023,Ryan McDonagh,2023,D,33.301,73,215,82.0,58.0,73.0,71,71,0.0,18.7761,1.1252
Jake Muzzin 2015,Jake Muzzin,2015,D,25.608,75,227,11.0,,76.0,76,76,21.666666666666664,16.1474,0.8800000000000001
Jake Muzzin 2016,Jake Muzzin,2016,D,26.607,75,227,,76.0,76.0,76,82,6.0,19.2246,1.0676999999999999
Jake Muzzin 2017,Jake Muzzin,2017,D,27.609,75,227,76.0,76.0,76.0,82,82,4.5,18.2315,1.0434999999999999
Jake Muzzin 2018,Jake Muzzin,2018,D,28.609,75,227,76.0,76.0,82.0,82,74,-5.0,17.7295,0.7428999999999999
Jake Muzzin 2019,Jake Muzzin,2019,D,29.608,75,227,76.0,82.0,82.0,74,80,1.5,17.0559,1.2835999999999999
Jake Muzzin 2020,Jake Muzzin,2020,D,30.607,75,227,82.0,82.0,74.0,80,62,-17.5,18.3869,1.2645
Jake Muzzin 2021,Jake Muzzin,2021,D,31.609,75,227,82.0,74.0,80.0,62,77,2.5,18.6925,1.3324
Alec Martinez 2018,Alec Martinez,2018,D,30.186,73,210,61.0,56.0,78.0,82,77,7.75,17.2693,0.9744999999999999
Alec Martinez 2019,Alec Martinez,2019,D,31.185,73,210,56.0,78.0,82.0,77,60,-13.25,18.5346,0.5466
Alec Martinez 2020,Alec Martinez,2020,D,32.184,73,210,78.0,82.0,77.0,60,60,-14.25,18.2483,0.8768
Alec Martinez 2021,Alec Martinez,2021,D,33.186,73,210,82.0,77.0,60.0,60,77,7.25,18.3585,0.769
Nick Holden 2017,Nick Holden,2017,D,29.383,76,210,3.0,54.0,78.0,82,80,25.75,18.7874,0.8179
Nick Holden 2018,Nick Holden,2018,D,30.383,76,210,54.0,78.0,82.0,80,73,-0.5,18.3102,1.1878
Nick Holden 2019,Nick Holden,2019,D,31.382,76,210,78.0,82.0,80.0,73,61,-17.25,16.5142,0.6969000000000001
Nick Holden 2020,Nick Holden,2020,D,32.381,76,210,82.0,80.0,73.0,61,71,-3.0,16.4467,0.7774
Jason Demers 2016,Jason Demers,2016,D,27.311,73,195,57.0,37.0,75.0,81,62,-0.5,15.8027,0.9375
Jason Demers 2017,Jason Demers,2017,D,28.313,73,195,37.0,75.0,81.0,62,81,17.25,16.8188,0.9782
Jason Demers 2018,Jason Demers,2018,D,29.312,73,195,75.0,81.0,62.0,81,69,-5.75,16.2426,0.9576
Drew Doughty 2011,Drew Doughty,2011,D,20.814,73,210,,,81.0,82,76,-5.5,18.4915,1.108
Drew Doughty 2012,Drew Doughty,2012,D,21.813,73,210,,81.0,82.0,76,77,-2.6666666666666714,19.3996,1.0175
Drew Doughty 2013,Drew Doughty,2013,D,22.815,73,210,81.0,82.0,76.0,77,82,3.0,18.8528,0.9507
Drew Doughty 2014,Drew Doughty,2014,D,23.814,73,210,82.0,76.0,77.0,82,78,-1.25,21.1712,0.7085
Drew Doughty 2015,Drew Doughty,2015,D,24.814,73,210,76.0,77.0,82.0,78,82,3.75,19.1972,0.8014
Drew Doughty 2016,Drew Doughty,2016,D,25.813,73,210,77.0,82.0,78.0,82,82,2.25,22.8915,0.895
Drew Doughty 2017,Drew Doughty,2017,D,26.815,73,210,82.0,78.0,82.0,82,82,1.0,22.0203,0.8307
Drew Doughty 2018,Drew Doughty,2018,D,27.815,73,210,78.0,82.0,82.0,82,82,1.0,21.2959,0.8246
Drew Doughty 2019,Drew Doughty,2019,D,28.814,73,210,82.0,82.0,82.0,82,82,0.0,20.928,1.3636
Drew Doughty 2020,Drew Doughty,2020,D,29.813,73,210,82.0,82.0,82.0,82,79,-3.0,21.1799,0.6909000000000001
Drew Doughty 2021,Drew Doughty,2021,D,30.815,73,210,82.0,82.0,82.0,79,82,0.75,20.4699,0.8749
Alex Pietrangelo 2013,Alex Pietrangelo,2013,D,22.703,75,215,8.0,9.0,79.0,81,80,35.75,18.6082,1.0350000000000001
Alex Pietrangelo 2014,Alex Pietrangelo,2014,D,23.702,75,215,9.0,79.0,81.0,80,81,18.75,19.2312,1.1284999999999998
Alex Pietrangelo 2015,Alex Pietrangelo,2015,D,24.702,75,215,79.0,81.0,80.0,81,81,0.75,19.1685,1.2367
Alex Pietrangelo 2016,Alex Pietrangelo,2016,D,25.701,75,215,81.0,80.0,81.0,81,73,-7.75,19.8942,1.2659
Alex Pietrangelo 2017,Alex Pietrangelo,2017,D,26.703,75,215,80.0,81.0,81.0,73,80,1.25,20.816,1.224
Alex Pietrangelo 2018,Alex Pietrangelo,2018,D,27.702,75,215,81.0,81.0,73.0,80,78,-0.75,19.8025,1.0984
Alex Pietrangelo 2019,Alex Pietrangelo,2019,D,28.702,75,215,81.0,73.0,80.0,78,71,-7.0,20.3564,1.5115
Alex Pietrangelo 2020,Alex Pietrangelo,2020,D,29.701,75,215,73.0,80.0,78.0,71,82,6.5,19.2573,1.097
Alex Pietrangelo 2021,Alex Pietrangelo,2021,D,30.703,75,215,80.0,78.0,71.0,82,60,-17.75,19.1964,1.2949000000000002
Alex Pietrangelo 2022,Alex Pietrangelo,2022,D,31.702,75,215,78.0,71.0,82.0,60,80,7.25,19.6407,1.3412
Alex Pietrangelo 2023,Alex Pietrangelo,2023,D,32.702,75,215,71.0,82.0,60.0,80,73,-0.25,19.9594,1.0145
Zach Bogosian 2012,Zach Bogosian,2012,D,21.213,74,222,,47.0,81.0,71,65,-1.3333333333333286,18.3948,0.5972
Zach Bogosian 2013,Zach Bogosian,2013,D,22.216,74,222,47.0,81.0,71.0,65,56,-10.0,17.8197,1.1914
Zach Bogosian 2017,Zach Bogosian,2017,D,26.216,74,222,56.0,55.0,62.0,64,56,-3.25,19.4547,0.8193
Luke Schenn 2011,Luke Schenn,2011,D,20.912,74,225,,,70.0,79,82,7.5,14.8034,0.8721
Luke Schenn 2012,Luke Schenn,2012,D,21.912,74,225,,70.0,79.0,82,79,2.0,18.628,0.8249
Luke Schenn 2013,Luke Schenn,2013,D,22.914,74,225,70.0,79.0,82.0,79,80,2.5,14.6342,1.038
Luke Schenn 2014,Luke Schenn,2014,D,23.913,74,225,79.0,82.0,79.0,80,79,-1.0,18.6908,0.7513000000000001
Luke Schenn 2015,Luke Schenn,2015,D,24.912,74,225,82.0,79.0,80.0,79,58,-22.0,14.3034,0.5841
Luke Schenn 2018,Luke Schenn,2018,D,27.913,74,225,79.0,58.0,72.0,78,64,-7.75,15.7776,0.3901
Tyler Myers 2012,Tyler Myers,2012,D,21.662,80,229,,,82.0,80,55,-26.0,16.945,1.0179
Tyler Myers 2015,Tyler Myers,2015,D,24.663,80,229,80.0,55.0,66.0,62,71,5.25,16.9581,0.7419
Tyler Myers 2016,Tyler Myers,2016,D,25.663,80,229,55.0,66.0,62.0,71,73,9.5,19.1106,0.8844
Tyler Myers 2020,Tyler Myers,2020,D,29.663,80,229,73.0,11.0,82.0,80,80,18.5,17.0025,0.9704999999999999
Tyler Myers 2021,Tyler Myers,2021,D,30.665,80,229,11.0,82.0,80.0,80,80,16.75,18.4022,0.6233000000000001
Tyler Myers 2022,Tyler Myers,2022,D,31.664,80,229,82.0,80.0,80.0,80,82,1.5,17.9258,0.9738
Tyler Myers 2023,Tyler Myers,2023,D,32.663,80,229,80.0,80.0,80.0,82,78,-2.5,19.085,0.6517
Erik Karlsson 2012,Erik Karlsson,2012,D,21.337,72,190,,,60.0,75,81,13.5,18.3756,1.0014
Erik Karlsson 2016,Erik Karlsson,2016,D,25.337,72,190,81.0,29.0,82.0,82,82,13.5,21.8941,1.2031
Erik Karlsson 2017,Erik Karlsson,2017,D,26.339,72,190,29.0,82.0,82.0,82,77,8.25,22.9858,1.7827
Erik Karlsson 2018,Erik Karlsson,2018,D,27.338,72,190,82.0,82.0,82.0,77,71,-9.75,21.0095,1.5578
Erik Karlsson 2019,Erik Karlsson,2019,D,28.338,72,190,82.0,82.0,77.0,71,53,-25.0,21.9448,1.6559
Erik Karlsson 2022,Erik Karlsson,2022,D,31.338,72,190,71.0,53.0,66.0,76,50,-16.5,19.3721,0.7743
John Carlson 2013,John Carlson,2013,D,22.725,75,215,,22.0,82.0,82,82,20.0,17.9364,0.9791
John Carlson 2014,John Carlson,2014,D,23.724,75,215,22.0,82.0,82.0,82,82,15.0,17.8861,1.1880000000000002
John Carlson 2015,John Carlson,2015,D,24.723,75,215,82.0,82.0,82.0,82,82,0.0,17.5846,0.5826
John Carlson 2016,John Carlson,2016,D,25.723,75,215,82.0,82.0,82.0,82,56,-26.0,18.352,1.5152
John Carlson 2019,John Carlson,2019,D,28.724,75,215,82.0,56.0,72.0,82,80,7.0,18.4386,1.4285999999999999
John Carlson 2020,John Carlson,2020,D,29.723,75,215,56.0,72.0,82.0,80,81,8.5,18.3956,1.5085000000000002
John Carlson 2021,John Carlson,2021,D,30.725,75,215,72.0,82.0,80.0,81,76,-2.75,18.985,2.2443
John Carlson 2022,John Carlson,2022,D,31.724,75,215,82.0,80.0,81.0,76,78,-1.75,18.5429,1.8045999999999998
Roman Josi 2015,Roman Josi,2015,D,24.335,73,201,,52.0,82.0,72,81,12.333333333333329,20.7486,1.0844
Roman Josi 2016,Roman Josi,2016,D,25.334,73,201,52.0,82.0,72.0,81,81,9.25,20.9247,1.3098
Roman Josi 2017,Roman Josi,2017,D,26.336,73,201,82.0,72.0,81.0,81,72,-7.0,19.7374,1.3135000000000001
Roman Josi 2018,Roman Josi,2018,D,27.335,73,201,72.0,81.0,81.0,72,75,-1.5,19.737,1.2666
Roman Josi 2019,Roman Josi,2019,D,28.335,73,201,81.0,81.0,72.0,75,82,4.75,18.5296,1.3816
