,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y5 dGP,Y4 EV ATOI,Y4 EV P/60
Corey Perry 2018,Corey Perry,2018,R,32.379,75,208,81.0,67.0,82.0,82,71,-7.0,14.8232,1.6290000000000002
Corey Perry 2022,Corey Perry,2022,R,36.379,75,208,71.0,31.0,67.0,71,82,22.0,11.4922,1.4916
Corey Perry 2023,Corey Perry,2023,R,37.378,75,208,31.0,67.0,71.0,82,81,18.25,11.7612,1.9909
Patrice Bergeron 2011,Patrice Bergeron,2011,C,25.189,73,196,,10.0,64.0,73,80,31.0,14.2683,2.4194
Patrice Bergeron 2012,Patrice Bergeron,2012,C,26.188,73,196,10.0,64.0,73.0,80,81,24.25,13.09,2.4637
Patrice Bergeron 2013,Patrice Bergeron,2013,C,27.19,73,196,64.0,73.0,80.0,81,71,-3.5,14.2323,2.4462
Patrice Bergeron 2014,Patrice Bergeron,2014,C,28.19,73,196,73.0,80.0,81.0,71,80,3.75,14.8929,2.5899
Patrice Bergeron 2015,Patrice Bergeron,2015,C,29.189,73,196,80.0,81.0,71.0,80,81,3.0,14.0165,2.5149
Patrice Bergeron 2016,Patrice Bergeron,2016,C,30.188,73,196,81.0,71.0,80.0,81,80,1.75,14.0588,2.0548
Patrice Bergeron 2017,Patrice Bergeron,2017,C,31.19,73,196,71.0,80.0,81.0,80,79,1.0,14.6338,1.9989
Patrice Bergeron 2018,Patrice Bergeron,2018,C,32.19,73,196,80.0,81.0,80.0,79,64,-16.0,14.3323,1.7487
Patrice Bergeron 2019,Patrice Bergeron,2019,C,33.189,73,196,81.0,80.0,79.0,64,65,-11.0,14.6247,2.5
Patrice Bergeron 2020,Patrice Bergeron,2020,C,34.188,73,196,80.0,79.0,64.0,65,71,-1.0,13.5141,3.0736999999999997
Patrice Bergeron 2021,Patrice Bergeron,2021,C,35.191,73,196,79.0,64.0,65.0,71,79,9.25,13.2918,2.59
Patrice Bergeron 2022,Patrice Bergeron,2022,C,36.19,73,196,64.0,65.0,71.0,79,73,3.25,13.0873,2.6319
Patrice Bergeron 2023,Patrice Bergeron,2023,C,37.189,73,196,65.0,71.0,79.0,73,78,6.0,13.3957,2.3929
Joe Pavelski 2010,Joe Pavelski,2010,C,25.225,71,200,,,82.0,80,67,-14.0,13.7154,1.7499
Joe Pavelski 2011,Joe Pavelski,2011,C,26.224,71,200,,82.0,80.0,67,74,-2.3333333333333286,13.9978,2.3031
Joe Pavelski 2012,Joe Pavelski,2012,C,27.223,71,200,82.0,80.0,67.0,74,82,6.25,14.3383,1.9792
Joe Pavelski 2013,Joe Pavelski,2013,C,28.225,71,200,80.0,67.0,74.0,82,82,6.25,15.815,1.9432
Joe Pavelski 2014,Joe Pavelski,2014,C,29.225,71,200,67.0,74.0,82.0,82,82,5.75,14.3285,1.6575000000000002
Joe Pavelski 2015,Joe Pavelski,2015,C,30.224,71,200,74.0,82.0,82.0,82,82,2.0,14.7319,2.2847
Joe Pavelski 2016,Joe Pavelski,2016,C,31.223,71,200,82.0,82.0,82.0,82,82,0.0,15.3073,1.8642000000000003
Joe Pavelski 2017,Joe Pavelski,2017,C,32.225,71,200,82.0,82.0,82.0,82,81,-1.0,15.5799,2.3483
Joe Pavelski 2018,Joe Pavelski,2018,C,33.225,71,200,82.0,82.0,82.0,81,82,0.25,15.5014,2.1503
Joe Pavelski 2019,Joe Pavelski,2019,C,34.224,71,200,82.0,82.0,81.0,82,75,-6.75,15.7657,1.9957
Joe Pavelski 2020,Joe Pavelski,2020,C,35.223,71,200,82.0,81.0,82.0,75,79,-1.0,15.346,2.1895000000000002
Joe Pavelski 2021,Joe Pavelski,2021,C,36.225,71,200,81.0,82.0,75.0,79,82,2.75,13.4129,1.2686000000000002
Joe Pavelski 2022,Joe Pavelski,2022,C,37.225,71,200,82.0,75.0,79.0,82,82,2.5,15.1682,2.119
Joe Pavelski 2023,Joe Pavelski,2023,C,38.224,71,200,75.0,79.0,82.0,82,82,2.5,15.2142,2.6932
Alex Ovechkin 2010,Alex Ovechkin,2010,L,24.039,75,238,,,82.0,79,72,-8.5,16.6732,2.8697999999999997
Alex Ovechkin 2011,Alex Ovechkin,2011,L,25.038,75,238,,82.0,79.0,72,79,1.3333333333333286,16.6701,3.5992
Alex Ovechkin 2012,Alex Ovechkin,2012,L,26.038,75,238,82.0,79.0,72.0,79,78,0.0,16.716,2.7261
Alex Ovechkin 2013,Alex Ovechkin,2013,L,27.04,75,238,79.0,72.0,79.0,78,82,5.0,16.1205,2.0041
Alex Ovechkin 2014,Alex Ovechkin,2014,L,28.039,75,238,72.0,79.0,78.0,82,78,0.25,16.2139,2.2357
Alex Ovechkin 2015,Alex Ovechkin,2015,L,29.038,75,238,79.0,78.0,82.0,78,81,1.75,15.4387,1.9431999999999998
Alex Ovechkin 2016,Alex Ovechkin,2016,L,30.038,75,238,78.0,82.0,78.0,81,79,-0.75,16.4784,2.1128
Alex Ovechkin 2017,Alex Ovechkin,2017,L,31.04,75,238,82.0,78.0,81.0,79,82,2.0,16.0112,2.2295
Alex Ovechkin 2018,Alex Ovechkin,2018,L,32.039,75,238,78.0,81.0,79.0,82,82,2.0,14.623,2.1517
Alex Ovechkin 2019,Alex Ovechkin,2019,L,33.039,75,238,81.0,79.0,82.0,82,81,0.0,15.8959,2.5778000000000003
Alex Ovechkin 2020,Alex Ovechkin,2020,L,34.038,75,238,79.0,82.0,82.0,81,80,-1.0,16.4848,2.741
Alex Ovechkin 2021,Alex Ovechkin,2021,L,35.04,75,238,82.0,82.0,81.0,80,65,-16.25,15.6512,2.7624999999999997
Alex Ovechkin 2022,Alex Ovechkin,2022,L,36.039,75,238,82.0,81.0,80.0,65,77,0.0,15.3107,2.1772
Alex Ovechkin 2023,Alex Ovechkin,2023,L,37.039,75,238,81.0,80.0,65.0,77,73,-2.75,15.8015,2.9587000000000003
Evgeni Malkin 2010,Evgeni Malkin,2010,C,23.171,75,195,,,82.0,82,67,-15.0,15.8852,3.2244
Evgeni Malkin 2016,Evgeni Malkin,2016,C,29.17,75,195,75.0,52.0,60.0,69,57,-7.0,15.2365,2.5111999999999997
Evgeni Malkin 2019,Evgeni Malkin,2019,C,32.171,75,195,69.0,57.0,62.0,78,68,1.5,15.2494,3.0265000000000004
Evgeni Malkin 2020,Evgeni Malkin,2020,C,33.17,75,195,57.0,62.0,78.0,68,64,-2.25,15.3181,2.6496
Blake Wheeler 2011,Blake Wheeler,2011,R,24.086,77,220,,,81.0,82,81,-0.5,12.5159,1.6369
Blake Wheeler 2012,Blake Wheeler,2012,R,25.085,77,220,,81.0,82.0,81,80,-1.3333333333333286,13.5628,2.13
Blake Wheeler 2013,Blake Wheeler,2013,R,26.087,77,220,81.0,82.0,81.0,80,82,1.0,16.2267,2.2648
Blake Wheeler 2014,Blake Wheeler,2014,R,27.086,77,220,82.0,81.0,80.0,82,82,0.75,15.8281,2.6849999999999996
Blake Wheeler 2015,Blake Wheeler,2015,R,28.086,77,220,81.0,80.0,82.0,82,79,-2.25,15.1829,2.4097
Blake Wheeler 2016,Blake Wheeler,2016,R,29.085,77,220,80.0,82.0,82.0,79,82,1.25,14.6479,2.2814
Blake Wheeler 2017,Blake Wheeler,2017,R,30.087,77,220,82.0,82.0,79.0,82,82,0.75,15.3067,2.7248
Blake Wheeler 2018,Blake Wheeler,2018,R,31.086,77,220,82.0,79.0,82.0,82,81,-0.25,15.8053,2.3148
Blake Wheeler 2019,Blake Wheeler,2019,R,32.086,77,220,79.0,82.0,82.0,81,82,1.0,15.8311,2.2927
Blake Wheeler 2020,Blake Wheeler,2020,R,33.085,77,220,82.0,82.0,81.0,82,83,1.25,15.9817,2.518
Blake Wheeler 2021,Blake Wheeler,2021,R,34.087,77,220,82.0,81.0,82.0,83,73,-9.0,15.3254,2.2608
Blake Wheeler 2022,Blake Wheeler,2022,R,35.087,77,220,81.0,82.0,83.0,73,65,-14.75,15.208,2.4461
Blake Wheeler 2023,Blake Wheeler,2023,R,36.086,77,220,82.0,83.0,73.0,65,72,-3.75,16.0431,2.3015000000000003
David Krejci 2011,David Krejci,2011,C,24.428,72,192,,56.0,82.0,79,75,2.6666666666666714,14.3205,1.9093
David Krejci 2012,David Krejci,2012,C,25.427,72,192,56.0,82.0,79.0,75,79,6.0,14.9222,2.6805
David Krejci 2013,David Krejci,2013,C,26.429,72,192,82.0,79.0,75.0,79,80,1.25,15.2314,2.543
David Krejci 2014,David Krejci,2014,C,27.429,72,192,79.0,75.0,79.0,80,80,1.75,15.9656,2.079
David Krejci 2018,David Krejci,2018,C,31.429,72,192,80.0,47.0,72.0,82,64,-6.25,15.2276,1.9221
David Krejci 2019,David Krejci,2019,C,32.428,72,192,47.0,72.0,82.0,64,81,14.75,14.4005,2.0181
David Krejci 2020,David Krejci,2020,C,33.427,72,192,72.0,82.0,64.0,81,71,-3.75,15.2578,2.7673
David Krejci 2021,David Krejci,2021,C,34.429,72,192,82.0,64.0,81.0,71,74,-0.5,15.1104,1.8877000000000002
Paul Stastny 2012,Paul Stastny,2012,C,25.761,72,193,66.0,45.0,81.0,74,79,12.5,15.6257,1.9199
Paul Stastny 2013,Paul Stastny,2013,C,26.763,72,193,45.0,81.0,74.0,79,68,-1.75,15.834,1.6309
Paul Stastny 2014,Paul Stastny,2014,C,27.763,72,193,81.0,74.0,79.0,68,71,-4.5,14.5446,1.4438
Paul Stastny 2015,Paul Stastny,2015,C,28.762,72,193,74.0,79.0,68.0,71,74,1.0,15.4056,2.4135999999999997
Paul Stastny 2016,Paul Stastny,2016,C,29.761,72,193,79.0,68.0,71.0,74,64,-9.0,14.3755,1.7484000000000002
Paul Stastny 2017,Paul Stastny,2017,C,30.763,72,193,68.0,71.0,74.0,64,66,-3.25,15.3979,2.1310000000000002
Paul Stastny 2018,Paul Stastny,2018,C,31.763,72,193,71.0,74.0,64.0,66,82,13.25,14.9227,1.6449
Paul Stastny 2019,Paul Stastny,2019,C,32.762,72,193,74.0,64.0,66.0,82,50,-21.5,14.676,2.1437999999999997
Paul Stastny 2022,Paul Stastny,2022,C,35.763,72,193,82.0,50.0,83.0,82,71,-3.25,14.3682,1.566
Paul Stastny 2023,Paul Stastny,2023,C,36.762,72,193,50.0,83.0,82.0,71,73,1.5,14.6594,2.133
Sidney Crosby 2015,Sidney Crosby,2015,C,27.152,71,200,41.0,22.0,61.0,80,77,26.0,17.1671,2.8834
Sidney Crosby 2016,Sidney Crosby,2016,C,28.151,71,200,22.0,61.0,80.0,77,80,20.0,15.9857,2.5834
Sidney Crosby 2017,Sidney Crosby,2017,C,29.153,71,200,61.0,80.0,77.0,80,75,0.5,16.36,2.7963999999999998
Sidney Crosby 2018,Sidney Crosby,2018,C,30.153,71,200,80.0,77.0,80.0,75,82,4.0,16.1344,3.1733000000000002
Sidney Crosby 2019,Sidney Crosby,2019,C,31.152,71,200,77.0,80.0,75.0,82,79,0.5,16.7821,2.2236000000000002
Sidney Crosby 2023,Sidney Crosby,2023,C,35.152,71,200,79.0,48.0,80.0,69,82,13.0,16.4693,2.8512
Anze Kopitar 2010,Anze Kopitar,2010,C,22.106,75,225,,,82.0,82,82,0.0,15.0681,2.0395
Anze Kopitar 2011,Anze Kopitar,2011,C,23.105,75,225,,82.0,82.0,82,75,-7.0,16.2722,1.8886
Anze Kopitar 2012,Anze Kopitar,2012,C,24.105,75,225,82.0,82.0,82.0,75,82,1.75,15.8782,2.7207000000000003
Anze Kopitar 2013,Anze Kopitar,2013,C,25.107,75,225,82.0,82.0,75.0,82,80,-0.25,15.665,2.1486
Anze Kopitar 2014,Anze Kopitar,2014,C,26.106,75,225,82.0,75.0,82.0,80,82,2.25,16.1801,2.0514
Anze Kopitar 2015,Anze Kopitar,2015,C,27.105,75,225,75.0,82.0,80.0,82,79,-0.75,15.4628,2.2241
Anze Kopitar 2016,Anze Kopitar,2016,C,28.105,75,225,82.0,80.0,82.0,79,81,0.25,14.8451,1.9952
Anze Kopitar 2017,Anze Kopitar,2017,C,29.107,75,225,80.0,82.0,79.0,81,76,-4.5,16.1533,2.4304
Anze Kopitar 2018,Anze Kopitar,2018,C,30.106,75,225,82.0,79.0,81.0,76,82,2.5,15.8467,1.5942
Anze Kopitar 2019,Anze Kopitar,2019,C,31.106,75,225,79.0,81.0,76.0,82,81,1.5,17.0183,2.7087
Anze Kopitar 2020,Anze Kopitar,2020,C,32.105,75,225,81.0,76.0,82.0,81,82,2.0,17.486,1.6522
Anze Kopitar 2021,Anze Kopitar,2021,C,33.107,75,225,76.0,82.0,81.0,82,82,1.75,16.2712,2.1071
Anze Kopitar 2022,Anze Kopitar,2022,C,34.106,75,225,82.0,81.0,82.0,82,81,-0.75,15.8878,1.8208
Anze Kopitar 2023,Anze Kopitar,2023,C,35.106,75,225,81.0,82.0,82.0,81,82,0.5,15.6922,2.077
T.J. Oshie 2016,T.J. Oshie,2016,R,28.773,72,187,80.0,51.0,79.0,72,80,9.5,15.1609,2.3086
T.J. Oshie 2017,T.J. Oshie,2017,R,29.775,72,187,51.0,79.0,72.0,80,68,-2.5,14.5046,1.7580999999999998
T.J. Oshie 2018,T.J. Oshie,2018,R,30.774,72,187,79.0,72.0,80.0,68,74,-0.75,13.9311,2.5335
T.J. Oshie 2019,T.J. Oshie,2019,R,31.774,72,187,72.0,80.0,68.0,74,69,-4.5,14.2581,1.6492
T.J. Oshie 2020,T.J. Oshie,2020,R,32.773,72,187,80.0,68.0,74.0,69,81,8.25,14.6572,2.3138
T.J. Oshie 2021,T.J. Oshie,2021,R,33.775,72,187,68.0,74.0,69.0,81,77,4.0,14.4449,2.2274000000000003
Andrew Cogliano 2010,Andrew Cogliano,2010,C,22.3,70,179,,,82.0,82,82,0.0,11.8425,1.7917999999999998
Andrew Cogliano 2011,Andrew Cogliano,2011,C,23.3,70,179,,82.0,82.0,82,82,0.0,12.5012,1.4633
Andrew Cogliano 2012,Andrew Cogliano,2012,C,24.299,70,179,82.0,82.0,82.0,82,82,0.0,13.5874,1.454
Andrew Cogliano 2013,Andrew Cogliano,2013,C,25.301,70,179,82.0,82.0,82.0,82,82,0.0,12.5411,1.342
Andrew Cogliano 2014,Andrew Cogliano,2014,C,26.301,70,179,82.0,82.0,82.0,82,82,0.0,13.5528,1.9369
Andrew Cogliano 2015,Andrew Cogliano,2015,C,27.3,70,179,82.0,82.0,82.0,82,82,0.0,13.5215,2.0022
Andrew Cogliano 2016,Andrew Cogliano,2016,C,28.299,70,179,82.0,82.0,82.0,82,82,0.0,12.8404,1.4246
Andrew Cogliano 2017,Andrew Cogliano,2017,C,29.301,70,179,82.0,82.0,82.0,82,82,0.0,12.4679,1.702
Andrew Cogliano 2018,Andrew Cogliano,2018,C,30.301,70,179,82.0,82.0,82.0,82,80,-2.0,13.2874,1.7071
Andrew Cogliano 2019,Andrew Cogliano,2019,C,31.3,70,179,82.0,82.0,82.0,80,78,-3.5,13.375,1.7383000000000002
Andrew Cogliano 2020,Andrew Cogliano,2020,C,32.299,70,179,82.0,82.0,80.0,78,80,-0.5,11.1771,1.1012
Andrew Cogliano 2021,Andrew Cogliano,2021,C,33.301,70,179,82.0,80.0,78.0,80,79,-1.0,10.8431,1.1392
Andrew Cogliano 2022,Andrew Cogliano,2022,C,34.301,70,179,80.0,78.0,80.0,79,74,-5.25,12.317,0.902
Andrew Cogliano 2023,Andrew Cogliano,2023,C,35.3,70,179,78.0,80.0,79.0,74,79,1.25,10.7923,1.0517999999999998
Darren Helm 2012,Darren Helm,2012,C,24.693,72,192,7.0,16.0,75.0,82,68,23.0,10.1843,2.0835999999999997
Darren Helm 2017,Darren Helm,2017,C,29.696,72,192,1.0,42.0,75.0,77,50,1.25,12.5426,1.6153
Darren Helm 2020,Darren Helm,2020,C,32.694,72,192,77.0,50.0,75.0,61,80,14.25,12.6339,1.0121
Darren Helm 2021,Darren Helm,2021,C,33.696,72,192,50.0,75.0,61.0,80,68,1.5,12.0152,1.0281
Darren Helm 2022,Darren Helm,2022,C,34.695,72,192,75.0,61.0,80.0,68,68,-3.0,12.6943,0.8045
Ryan Reaves 2014,Ryan Reaves,2014,R,26.698,74,225,,28.0,60.0,73,63,9.333333333333336,7.4012,1.1311
Ryan Reaves 2015,Ryan Reaves,2015,R,27.697,74,225,28.0,60.0,73.0,63,81,25.0,8.4921,0.8972
Ryan Reaves 2016,Ryan Reaves,2016,R,28.696,74,225,60.0,73.0,63.0,81,64,-5.25,8.4784,1.0484
Ryan Reaves 2017,Ryan Reaves,2017,R,29.698,74,225,73.0,63.0,81.0,64,80,9.75,8.0036,0.46849999999999997
Ryan Reaves 2018,Ryan Reaves,2018,R,30.698,74,225,63.0,81.0,64.0,80,79,7.0,8.8537,1.1012
Ryan Reaves 2019,Ryan Reaves,2019,R,31.697,74,225,81.0,64.0,80.0,79,80,4.0,7.5407,1.0071999999999999
Ryan Reaves 2020,Ryan Reaves,2020,R,32.696,74,225,64.0,80.0,79.0,80,83,7.25,10.1317,1.2585
Ryan Reaves 2021,Ryan Reaves,2021,R,33.698,74,225,80.0,79.0,80.0,83,54,-26.5,9.8371,1.2886
Patric Hornqvist 2012,Patric Hornqvist,2012,R,24.748,71,189,,28.0,80.0,79,76,13.666666666666664,12.9401,1.9956
Patric Hornqvist 2016,Patric Hornqvist,2016,R,28.748,71,189,76.0,41.0,76.0,64,82,17.75,14.2964,2.3607
Patric Hornqvist 2017,Patric Hornqvist,2017,R,29.75,71,189,41.0,76.0,64.0,82,70,4.25,13.7673,1.9133
Patric Hornqvist 2018,Patric Hornqvist,2018,R,30.75,71,189,76.0,64.0,82.0,70,70,-3.0,12.9062,1.7931000000000001
Patric Hornqvist 2019,Patric Hornqvist,2019,R,31.749,71,189,64.0,82.0,70.0,70,69,-2.5,13.7717,1.6805
Patric Hornqvist 2020,Patric Hornqvist,2020,R,32.748,71,189,82.0,70.0,70.0,69,61,-11.75,12.7249,1.7084
Patric Hornqvist 2021,Patric Hornqvist,2021,R,33.75,71,189,70.0,70.0,69.0,61,64,-3.5,12.6228,2.2852
Patric Hornqvist 2022,Patric Hornqvist,2022,R,34.75,71,189,70.0,69.0,61.0,64,65,-1.0,12.6663,2.1532999999999998
Brad Marchand 2013,Brad Marchand,2013,L,24.392,69,176,,20.0,77.0,76,76,18.333333333333336,14.034,2.5877
Brad Marchand 2014,Brad Marchand,2014,L,25.392,69,176,20.0,77.0,76.0,76,82,19.75,13.9219,2.8731999999999998
Brad Marchand 2015,Brad Marchand,2015,L,26.391,69,176,77.0,76.0,76.0,82,77,-0.75,13.8683,2.4271
Brad Marchand 2016,Brad Marchand,2016,L,27.39,69,176,76.0,76.0,82.0,77,77,-0.75,14.5273,1.9847000000000001
Brad Marchand 2017,Brad Marchand,2017,L,28.392,69,176,76.0,82.0,77.0,77,80,2.0,15.1011,2.322
Brad Marchand 2018,Brad Marchand,2018,L,29.392,69,176,82.0,77.0,77.0,80,68,-11.0,14.8667,2.7747
Brad Marchand 2019,Brad Marchand,2019,L,30.391,69,176,77.0,77.0,80.0,68,79,3.5,14.7926,3.4596
Brad Marchand 2020,Brad Marchand,2020,L,31.39,69,176,77.0,80.0,68.0,79,82,6.0,14.8909,3.0092999999999996
Brad Marchand 2021,Brad Marchand,2021,L,32.392,69,176,80.0,68.0,79.0,82,77,-0.25,14.076,3.4101
Brad Marchand 2022,Brad Marchand,2022,L,33.392,69,176,68.0,79.0,82.0,77,70,-6.5,14.0579,3.5433
Brad Marchand 2023,Brad Marchand,2023,L,34.391,69,176,79.0,82.0,77.0,70,73,-4.0,14.1062,3.0382
Nick Foligno 2011,Nick Foligno,2011,L,22.919,72,210,,45.0,81.0,61,82,19.666666666666664,12.5664,1.5655000000000001
Nick Foligno 2012,Nick Foligno,2012,L,23.919,72,210,45.0,81.0,61.0,82,82,14.75,13.7752,1.2748
Nick Foligno 2013,Nick Foligno,2013,L,24.921,72,210,81.0,61.0,82.0,82,76,-0.5,13.1211,2.3979
Nick Foligno 2014,Nick Foligno,2014,L,25.92,72,210,61.0,82.0,82.0,76,70,-5.25,14.4548,1.4758
Nick Foligno 2015,Nick Foligno,2015,L,26.919,72,210,82.0,82.0,76.0,70,79,1.5,14.1043,2.0055
Nick Foligno 2016,Nick Foligno,2016,L,27.919,72,210,82.0,76.0,70.0,79,72,-4.75,14.958,2.3864
Nick Foligno 2017,Nick Foligno,2017,L,28.921,72,210,76.0,70.0,79.0,72,79,4.75,14.265,1.402
Nick Foligno 2018,Nick Foligno,2018,L,29.92,72,210,70.0,79.0,72.0,79,72,-3.0,15.1327,1.5056
Nick Foligno 2019,Nick Foligno,2019,L,30.919,72,210,79.0,72.0,79.0,72,73,-2.5,14.7403,1.6394000000000002
Nick Foligno 2020,Nick Foligno,2020,L,31.919,72,210,72.0,79.0,72.0,73,79,5.0,14.3687,1.7732
Nick Foligno 2021,Nick Foligno,2021,L,32.921,72,210,79.0,72.0,73.0,79,71,-4.75,15.21,1.5308000000000002
Nick Foligno 2022,Nick Foligno,2022,L,33.92,72,210,72.0,73.0,79.0,71,64,-9.75,14.0446,1.3078
Nick Foligno 2023,Nick Foligno,2023,L,34.92,72,210,73.0,79.0,71.0,64,60,-11.75,10.9271,1.0296
Kyle Okposo 2014,Kyle Okposo,2014,R,25.46,72,218,80.0,38.0,79.0,82,71,1.25,15.2559,1.7206000000000001
Kyle Okposo 2015,Kyle Okposo,2015,R,26.459,72,218,38.0,79.0,82.0,71,60,-7.5,16.2775,2.8036000000000003
Kyle Okposo 2016,Kyle Okposo,2016,R,27.459,72,218,79.0,82.0,71.0,60,79,6.0,15.7458,2.0958
Kyle Okposo 2017,Kyle Okposo,2017,R,28.461,72,218,82.0,71.0,60.0,79,65,-8.0,15.1707,2.0525
Kyle Okposo 2018,Kyle Okposo,2018,R,29.46,72,218,71.0,60.0,79.0,65,76,7.25,15.6377,1.2986000000000002
Kyle Okposo 2019,Kyle Okposo,2019,R,30.459,72,218,60.0,79.0,65.0,76,78,8.0,13.4941,1.3455
Kyle Okposo 2020,Kyle Okposo,2020,R,31.459,72,218,79.0,65.0,76.0,78,61,-13.5,11.881,1.1654
Kyle Okposo 2021,Kyle Okposo,2021,R,32.461,72,218,65.0,76.0,78.0,61,51,-19.0,12.0109,1.7292
Trevor Lewis 2013,Trevor Lewis,2013,C,25.731,73,201,6.0,5.0,72.0,72,82,43.25,11.2734,0.4435
Trevor Lewis 2014,Trevor Lewis,2014,C,26.73,73,201,5.0,72.0,72.0,82,73,15.25,12.5656,1.1937
Trevor Lewis 2015,Trevor Lewis,2015,C,27.73,73,201,72.0,72.0,82.0,73,73,-1.75,11.06,0.7431000000000001
Trevor Lewis 2016,Trevor Lewis,2016,C,28.729,73,201,72.0,82.0,73.0,73,75,0.0,12.3966,1.5912
Trevor Lewis 2017,Trevor Lewis,2017,C,29.731,73,201,82.0,73.0,73.0,75,82,6.25,12.6733,0.8838
Trevor Lewis 2018,Trevor Lewis,2018,C,30.73,73,201,73.0,73.0,75.0,82,68,-7.75,12.8407,1.2536
